title,author,pub_date,scraped_at,url
Mr Tiff,speckx,2025-11-05,2025-11-05 07:27:42,https://inventingthefuture.ghost.io/mr-tiff/
Hypothesis: Property-Based Testing for Python,lwhsiao,2025-11-05,2025-11-05 07:27:42,https://hypothesis.readthedocs.io/en/latest/
RISC-V takes first step toward international ISO/IEC standardization,jrepinc,2025-11-05,2025-11-05 07:27:42,https://riscv.org/blog/risc-v-jtc1-pas-submitter/
"This week in 1988, Robert Morris unleashed his eponymous worm upon the Internet",canucker2016,2025-11-05,2025-11-05 07:27:42,https://www.tomshardware.com/tech-industry/cyber-security/on-this-day-in-1988-the-morris-worm-slithered-out-and-sparked-a-new-era-in-cybersecurity-10-percent-of-the-internet-was-infected-within-24-hours
Apple’s Persona technology uses Gaussian splatting to create 3D facial scans,dmarcos,2025-11-05,2025-11-05 07:27:42,https://www.cnet.com/tech/computing/apple-talks-to-me-about-vision-pro-personas-where-is-our-virtual-presence-headed/
Bluetui – A TUI for managing Bluetooth on Linux,birdculture,2025-11-05,2025-11-05 07:27:42,https://github.com/pythops/bluetui
Patching 68K Software – SimpleText,mmoogle,2025-11-05,2025-11-05 07:27:42,https://tinkerdifferent.com/threads/patching-68k-software-simpletext.4793/
"Direct File won't happen in 2026, IRS tells states",jhatax,2025-11-05,2025-11-05 07:27:42,https://www.nextgov.com/digital-government/2025/11/direct-file-wont-happen-2026-irs-tells-states/409309/
Pg_lake: Postgres with Iceberg and data lake access,plaur782,2025-11-05,2025-11-05 07:27:42,https://github.com/Snowflake-Labs/pg_lake
Asus Announces October Availability of ProArt Display 8K PA32KCX,Roachma,2025-11-05,2025-11-05 07:27:42,https://press.asus.com/news/press-releases/asus-proart-display-8k-pa32kcx-availability/
Show HN: A CSS-Only Terrain Generator,rofko,2025-11-05,2025-11-05 07:27:42,https://terra.layoutit.com
Vectorizing for Fun and Performance,rinostroh,2025-11-05,2025-11-05 07:27:42,https://www.ibm.com/support/pages/vectorizing-fun-and-performance
By the Power of Grayscale,surprisetalk,2025-11-05,2025-11-05 07:27:42,https://zserge.com/posts/grayskull/
"Grayskull: A tiny computer vision library in C for embedded systems, etc.",gurjeet,2025-11-05,2025-11-05 07:27:42,https://github.com/zserge/grayskull
The Microsoft SoftCard for the Apple II: Getting two processors to share memory,zdw,2025-11-05,2025-11-05 07:27:42,https://devblogs.microsoft.com/oldnewthing/20251104-00/?p=111758
"Uncle Sam wants to scan your iris and collect your DNA, citizen or not",SanjayMehta,2025-11-05,2025-11-05 07:27:42,https://www.theregister.com/2025/11/04/dhs_wants_to_collect_biometric_data/
"Codemaps: Understand Code, Before You Vibe It",janpio,2025-11-05,2025-11-05 07:27:42,https://cognition.ai/blog/codemaps
Whole Earth Index,bookofjoe,2025-11-05,2025-11-05 07:27:42,https://wholeearth.info/
"I took all my projects off the cloud, saving thousands of dollars",sebnun,2025-11-05,2025-11-05 07:27:42,https://rameerez.com/send-this-article-to-your-friend-who-still-thinks-the-cloud-is-a-good-idea/
"Developers are choosing older AI models, and the data explains why",knes,2025-11-05,2025-11-05 07:27:42,https://www.augmentcode.com/blog/developers-are-choosing-older-ai-models-and-16b-tokens-of-data-explain-why
Zohran Mamdani wins the New York mayoral race,jsheard,2025-11-05,2025-11-05 07:27:42,https://www.nbcnews.com/politics/elections/new-york-city-mayor-election-winner-2025-race-rcna238909
Preventing Kubernetes from Pulling the Pause Image from the Internet,meatmanek,2025-11-05,2025-11-05 07:27:42,https://kyle.cascade.family/posts/preventing-kubernetes-from-pulling-the-pause-image-from-the-internet/
Inside an Isotemp OCXO107-10 Oven Controlled Crystal Oscillator,zdw,2025-11-05,2025-11-05 07:27:42,https://tomverbeure.github.io/2025/10/26/Inside-an-Isotemp-OCXO107-10.html
"Frozen String Literals: Past, Present, Future?",Bogdanp,2025-11-05,2025-11-05 07:27:42,https://byroot.github.io/ruby/performance/2025/10/28/string-literals.html
Google Removed 749M Anna's Archive URLs from Its Search Results,gslin,2025-11-05,2025-11-05 07:27:42,https://torrentfreak.com/google-removed-749-million-annas-archive-urls-from-its-search-results/
Launch HN: Plexe (YC X25) – Build production-grade ML models from prompts,vaibhavdubey97,2025-11-05,2025-11-05 07:27:42,https://www.plexe.ai/
Epic vs. Google settlement: Opening up Android,azhenley,2025-11-05,2025-11-05 07:27:42,https://twitter.com/TimSweeneyEpic/status/1985920786545123613
Munich's surfers left stunned after famed river wave vanishes,c420,2025-11-05,2025-11-05 07:27:42,https://www.theguardian.com/world/2025/nov/04/munichs-surfers-left-stunned-after-famed-river-wave-vanishes
Singing bus horns in West Sumatra,Kaibeezy,2025-11-05,2025-11-05 07:27:42,https://www.auralarchipelago.com/auralarchipelago/kalason
What Happened to Piracy? Copyright Enforcement Fades as AI Giants Rise,walterbell,2025-11-05,2025-11-05 07:27:42,https://www.leefang.com/p/what-happened-to-piracy-copyright
