"title","author","pub_date","scraped_at","url"
"Mr Tiff","speckx","2025-11-04T22:57:12 1762297032","2025-11-05 07:27:42","https://inventingthefuture.ghost.io/mr-tiff/"
"Hypothesis: Property-Based Testing for Python","lwhsiao","2025-11-05T03:15:37 1762312537","2025-11-05 07:27:42","https://hypothesis.readthedocs.io/en/latest/"
"RISC-V takes first step toward international ISO/IEC standardization","jrepinc","2025-10-30T13:30:37 1761831037","2025-11-05 07:27:42","https://riscv.org/blog/risc-v-jtc1-pas-submitter/"
"This week in 1988, Robert Morris unleashed his eponymous worm upon the Internet","canucker2016","2025-11-04T15:23:14 1762269794","2025-11-05 07:27:42","https://www.tomshardware.com/tech-industry/cyber-security/on-this-day-in-1988-the-morris-worm-slithered-out-and-sparked-a-new-era-in-cybersecurity-10-percent-of-the-internet-was-infected-within-24-hours"
"Apple’s Persona technology uses Gaussian splatting to create 3D facial scans","dmarcos","2025-10-30T15:53:21 1761839601","2025-11-05 07:27:42","https://www.cnet.com/tech/computing/apple-talks-to-me-about-vision-pro-personas-where-is-our-virtual-presence-headed/"
"Bluetui – A TUI for managing Bluetooth on Linux","birdculture","2025-11-04T23:29:31 1762298971","2025-11-05 07:27:42","https://github.com/pythops/bluetui"
"Patching 68K Software – SimpleText","mmoogle","2025-11-04T22:59:22 1762297162","2025-11-05 07:27:42","https://tinkerdifferent.com/threads/patching-68k-software-simpletext.4793/"
"Direct File won't happen in 2026, IRS tells states","jhatax","2025-11-05T02:30:38 1762309838","2025-11-05 07:27:42","https://www.nextgov.com/digital-government/2025/11/direct-file-wont-happen-2026-irs-tells-states/409309/"
"Pg_lake: Postgres with Iceberg and data lake access","plaur782","2025-11-04T16:12:27 1762272747","2025-11-05 07:27:42","https://github.com/Snowflake-Labs/pg_lake"
"Asus Announces October Availability of ProArt Display 8K PA32KCX","Roachma","2025-10-28T14:17:04 1761661024","2025-11-05 07:27:42","https://press.asus.com/news/press-releases/asus-proart-display-8k-pa32kcx-availability/"
"Show HN: A CSS-Only Terrain Generator","rofko","2025-11-04T13:58:35 1762264715","2025-11-05 07:27:42","https://terra.layoutit.com"
"Vectorizing for Fun and Performance","rinostroh","2025-10-29T17:19:40 1761758380","2025-11-05 07:27:42","https://www.ibm.com/support/pages/vectorizing-fun-and-performance"
"By the Power of Grayscale","surprisetalk","2025-10-31T12:11:03 1761912663","2025-11-05 07:27:42","https://zserge.com/posts/grayskull/"
"Grayskull: A tiny computer vision library in C for embedded systems, etc.","gurjeet","2025-11-04T22:35:58 1762295758","2025-11-05 07:27:42","https://github.com/zserge/grayskull"
